cluster,fgf1_day,fgf1_comparison,grouping,cells_a,cells_b,hub_node,hub_node_name,terminal_names,term_size,query_size,intersection_size,p_value,gene_ids,
11,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0001505,regulation of neurotransmitter levels,NA,198,616,18,0.00192698398288298,Mef2c; Rph3a; Syt1; Nlgn1; Cadps2; Unc13c; Nrxn3; Cacnb4; Nos1; Lrrk2; Htr2c; Ppfia2; Slc18a2; Kmo; Syt10; Bcl2l1; Rab3b; Syt9
12,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0007215,glutamate receptor signaling pathway,NA,55,508,9,0.00201942658475926,Grik2; Grin2b; Plcb1; Grm1; Gria3; Grik4; Grm3; Grid2; Grin3a
13,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0016358,dendrite development,NA,306,533,21,0.00236182412061668,Mef2c; Trpc5; Nlgn1; Fat3; Tiam1; Ptprz1; Csmd3; Alk; Cdkl5; Lrrk2; Dab1; Sdc2; Ppfia2; Tet1; Ptn; Epha5; Matn2; Sdk1; Kndc1; Grin3a; Fstl4
14,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0006821,chloride transport,NA,129,609,14,0.00347645346497711,Kcnt2; Ano1; Gabrg2; Gabrg3; Gabrb2; Ano3; Best3; Gabra4; Ano4; Gabra3; Glra4; Slc12a1; Ano6; Gabra5
15,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0006836,neurotransmitter transport,NA,211,433,15,0.00459104628883795,Mef2c; Rph3a; Syt1; Nlgn1; Cadps2; Unc13c; Nrxn3; Cacnb4; Nos1; Lrrk2; Htr2c; Ppfia2; Slc18a2; Kmo; Syt10
16,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0008038,neuron recognition,NA,43,16,3,0.00502406860341185,Cntn5; Cntn6; Dscaml1
17,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0071867,response to monoamine,cellular response to catecholamine stimulus,87,354,9,0.00536817123595292,Pde4b; Chrm3; Alk; Nos1; Htr4; Lrrk2; Htr2c; Nsg2; Gnal
18,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0034332,adherens junction organization,NA,58,554,9,0.00654098547568032,Cdh8; Cdh11; Cdh4; Efnb2; Cdh10; Cdh13; Cdh2; Cdh12; Cdh6
19,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:1902074,response to salt,NA,410,646,27,0.00662808200671305,Mef2c; Syt1; Crhr1; Nlgn1; Igf1r; Ryr3; Plcb1; Chrm3; Tiam1; Nos1; Sorbs2; Syt17; Cpne4; Trpv6; Pgr; Kcnmb2; Aspn; Cpne8; Syt10; Sdk1; Cacng4; Itga2; Ttn; Adcy8; Syt9; Atp7a; Cpne7
20,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0046660,female sex differentiation,female gonad development,164,513,14,0.0083060773194547,Schip1; Col9a3; Esr1; Arid5b; Slit2; Csmd1; Adamts1; Gas2; Pgr; Mertk; Bcl2; Ctnna1; Bcl2l1; Fshr
21,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0042698,ovulation cycle,NA,91,385,9,0.0154360420587153,Schip1; Enpp2; Esr1; Igf1r; Slit2; Adamts1; Gas2; Pgr; Ptn
22,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0098656,monoatomic anion transmembrane transport,NA,150,609,14,0.0206641303489259,Kcnt2; Ano1; Gabrg2; Gabrg3; Gabrb2; Ano3; Best3; Gabra4; Ano4; Gabra3; Glra4; Slc12a1; Ano6; Gabra5
23,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0009214,cyclic nucleotide catabolic process,NA,14,267,4,0.0210495158108253,Pde1a; Pde4b; Pde9a; Pde7b
24,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0071277,cellular response to calcium ion,NA,89,646,11,0.022769667130072,Mef2c; Syt1; Nlgn1; Ryr3; Syt17; Cpne4; Cpne8; Syt10; Adcy8; Syt9; Cpne7
25,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0045229,external encapsulating structure organization,NA,304,575,20,0.0247944927575357,Tnxb; Col23a1; Hpse2; Col9a3; Adamts18; Adamtsl3; Mmp16; Adamts1; Gas2; Adamts17; Sulf1; Matn2; Myo1e; Rxfp1; Ntn4; Fshr; Col4a4; Hsd17b12; Col8a1; Tgfbr1
26,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0043062,extracellular structure organization,NA,305,575,20,0.0260155551074308,Tnxb; Col23a1; Hpse2; Col9a3; Adamts18; Adamtsl3; Mmp16; Adamts1; Gas2; Adamts17; Sulf1; Matn2; Myo1e; Rxfp1; Ntn4; Fshr; Col4a4; Hsd17b12; Col8a1; Tgfbr1
27,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0042596,fear response,NA,60,349,7,0.0300015724153899,Mef2c; Crhr1; Grik2; Ankfn1; Usp46; Htr2c; Bcl2
28,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0021885,forebrain cell migration,NA,70,427,8,0.0363277764435502,Nrg1; Slit2; Ccdc141; Lrrk2; Robo1; Dab1; Syne2; Mdga1
29,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0045664,regulation of neuron differentiation,NA,240,518,16,0.0459186765812246,Cntn4; Mef2c; Trpc5; Brinp3; Nlgn1; Sox5; Pbx1; Vwc2; Alk; Lrrk2; Dab1; Bcl2; Cdon; Gli2; Socs2; Vwc2l
30,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0016358,dendrite development,regulation of dendritic spine development,306,646,29,9.49970857121491E-07,Cacna1a; App; Ube3a; Ctnna2; Caprin1; Dlg4; Mpdz; Afdn; Dclk1; Reln; Mef2c; Grin3a; Sipa1l1; Acsl4; Grip1; Lpar1; Prickle1; Dab1; Tanc2; Csmd3; Ptprd; Dcdc2a; Rbfox2; Phactr1; Ngef; Abi3bp; Map2; Prex1; Ptn
31,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0044782,cilium organization,sperm axoneme assembly,408,466,27,8.35946785123124E-06,Cfap44; Dync2h1; Cep290; Cfap47; Dclk1; Iqub; Cep126; Dnah2; Daw1; Ift88; Spag16; Abcc4; Snx10; Ttc12; Bbs9; Cplane1; Kifap3; Dnah7b; Spef2; Armc2; Parva; Prickle1; Armc9; Wdpcp; Cfap74; Rttn; Cfap69
32,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0042391,regulation of membrane potential,NA,485,613,32,0.000228383435048271,Cacna1a; App; Dlg4; Grik4; Afdn; Kcnd3; Fgf12; Reln; Mef2c; Grin3a; Pex5l; Clic1; Cacnb2; Prkce; Pclo; Rimbp2; Grik2; Rims2; Dgki; Gclm; Kmt2a; Kcnk2; Dpp6; Rgs7; Fgf13; Dcdc2a; Prkn; Slc24a4; Kcnj3; Calm1; Grid1; Kcnq3
33,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0050803,regulation of synapse structure or activity,regulation of postsynapse organization,297,646,24,0.000623765467143299,App; Ube3a; Gpc4; Ctnna2; Caprin1; Afdn; Rps6ka5; Reln; Mef2c; Sipa1l1; Slc7a11; Ror2; Il1rap; Epha7; Tanc2; Cttnbp2; Ptprd; Sparc; Ptprt; Ngef; Abi3bp; Gpm6a; Grid1; Ptn
34,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:1990778,protein localization to cell periphery,neurotransmitter receptor localization to postsynaptic specialization membrane,380,502,23,0.00218328219325158,Kcnip4; Gpc4; Adam22; Dlg4; Nsf; Afdn; Gpc6; Lztfl1; Sptbn1; Cacnb2; Rdx; Dlg2; Large1; Pacs1; Iqsec2; Rock2; Grip1; Gpr158; Nbea; Commd1; Rapgef6; Dpp6; Fgf13
35,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0001539,cilium or flagellum-dependent cell motility,sperm axoneme assembly,170,343,12,0.00476017205768601,Taf7l; Cfap44; Catspere2; Kif9; Cfap47; Enkur; Lztfl1; Dnah2; Spag16; Ttc12; Spef2; Armc2
36,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0031503,protein-containing complex localization,neurotransmitter receptor localization to postsynaptic specialization membrane,227,405,15,0.00478349203576249,Dync2h1; Gpc4; Adam22; Dlg4; Cep112; Gpc6; Mdn1; Reln; Rdx; Dlg2; Iqsec2; Grip1; Lpar1; Wdpcp; Nbea
37,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0007264,small GTPase mediated signal transduction,NA,419,450,22,0.00644105037028779,Rasgrf1; Scai; Reln; Cdh13; Rabif; Rdx; Sipa1l1; Arhgef9; Slit2; Synj2bp; Iqsec2; Rock2; Dock7; Dennd4a; Lpar1; Dab1; Dock3; Robo1; Dgki; Chn1; Stard13; Rapgef6
38,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0050923,regulation of negative chemotaxis,NA,3,412,3,0.00814694432862404,Plxna4; Slit2; Robo1
39,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:1902414,protein localization to cell junction,neurotransmitter receptor localization to postsynaptic specialization membrane,128,405,11,0.00914556913536368,Gpc4; Adam22; Dlg4; Afdn; Gpc6; Reln; Dlg2; Pclo; Iqsec2; Grip1; Nbea
40,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0097722,sperm motility,sperm axoneme assembly,153,343,11,0.0106164698357574,Taf7l; Cfap44; Catspere2; Kif9; Cfap47; Enkur; Lztfl1; Spag16; Ttc12; Spef2; Armc2
41,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0001764,neuron migration,NA,193,595,16,0.0157883687988923,Ctnna2; Astn2; Dclk1; Reln; Mef2c; Fzd3; Large1; Usp9x; Dab1; Chl1; Fgf13; Dcdc2a; Sema6a; Mrtfa; Phactr1; Gpm6a
42,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0099072,regulation of postsynaptic membrane neurotransmitter receptor levels,NA,129,515,12,0.0169808153344248,Gpc4; Adam22; Dlg4; Gpc6; Rdx; Dlg2; Iqsec2; Grip1; Lpar1; Nbea; Cacng4; Prkn
43,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0071670,smooth muscle cell chemotaxis,NA,10,377,4,0.0170625191831906,Pdgfd; Slit2; Lpar1; Parva
44,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0050890,cognition,NA,358,565,22,0.0194075949003341,App; Ube3a; Synj1; Reln; Kcnab1; Mef2c; Large1; Btbd9; Atp8a1; Slc7a11; Dgki; Chl1; Kmt2a; Kcnk2; Rtl4; Gnas; Fgf13; Dcdc2a; Prkn; Foxp2; Sobp; Cyp7b1
45,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0014846,esophagus smooth muscle contraction,NA,2,98,2,0.0299556431609064,Sulf2; Sulf1
46,Astrocytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0043954,cellular component maintenance,NA,95,406,9,0.0320417071868292,App; Dlg4; Afdn; Plekha7; Dlg2; Pclo; Plxna4; Rimbp2; Rims2
47,Ghrh,Day5,obob5v5,fgf1_grouping,neg,none,GO:0040018,positive regulation of multicellular organism growth,NA,39,101,4,0.0291803904768879,Bcl2; Chd7; Ghrh; Ghr
48,Ghrh,Day5,obob5v5,fgf1_grouping,pos,none,GO:0038138,ERBB4-ERBB4 signaling pathway,NA,6,36,2,0.0435288626943274,Erbb4; Nrg3
49,Htr3b,Day5,obob5v5,fgf1_grouping,neg,none,GO:0045229,external encapsulating structure organization,glomerular basement membrane development,304,254,16,8.40645417129779E-05,Col4a4; Col4a3; Col18a1; Col8a1; Adamts18; Col14a1; Ecm2; Adamts16; Antxr1; Ext1; Gas6; Reck; Sulf1; Tnxb; Adamts6; B4galt1
50,Htr3b,Day5,obob5v5,fgf1_grouping,neg,none,GO:0043062,extracellular structure organization,glomerular basement membrane development,305,254,16,8.79779066060625E-05,Col4a4; Col4a3; Col18a1; Col8a1; Adamts18; Col14a1; Ecm2; Adamts16; Antxr1; Ext1; Gas6; Reck; Sulf1; Tnxb; Adamts6; B4galt1
51,Htr3b,Day5,obob5v5,fgf1_grouping,neg,none,GO:1902074,response to salt,NA,410,275,18,0.000608044949326688,Plcb1; Col18a1; Trpc3; Plcg2; Sdk1; Chrm3; Syt17; Nos1; Nek7; Runx2; Chrm2; Bcl11a; Adgrv1; Rgs10; Foxo1; Cnr1; Stk39; Aspn
52,Htr3b,Day5,obob5v5,fgf1_grouping,neg,none,GO:0007264,small GTPase mediated signal transduction,NA,419,462,24,0.000738932681167984,Auts2; Sipa1l1; Abca1; Dock2; Nrg1; Arhgdib; Rgl1; Rasgrf2; Cdh13; Dock4; Cdon; Stard13; Srgap1; Dok5; Rnd3; Kitl; Tiam2; Arhgef28; Garnl3; Ksr1; Arhgef3; Akap13; Bcl6; Dab1
53,Htr3b,Day5,obob5v5,fgf1_grouping,neg,none,GO:0072001,renal system development,NA,358,7,4,0.0022890915983705,Col4a4; Col4a3; Cyp26b1; Pcsk5
54,Htr3b,Day5,obob5v5,fgf1_grouping,neg,none,GO:0031589,cell-substrate adhesion,NA,355,459,20,0.00819021974174296,Pcsk5; Col8a1; Ecm2; S100a10; Antxr1; Gas6; Skap1; Fmn1; Col26a1; Cdh13; Tnxb; Parva; Ptprk; Itgb8; Rin2; Prkx; Rreb1; Wdpcp; Utrn; Bcl6
55,Htr3b,Day5,obob5v5,fgf1_grouping,neg,none,GO:0048736,appendage development,limb morphogenesis,197,422,13,0.0341484107614121,Cyp26b1; Pcsk5; Plxna2; Ext1; Runx2; Rarb; Reck; Fmn1; Sulf1; Zbtb16; Fras1; Chst11; Wdpcp
56,Htr3b,Day5,obob5v5,fgf1_grouping,neg,none,GO:0007213,G protein-coupled acetylcholine receptor signaling pathway,NA,21,205,4,0.0387438926293865,Plcb1; Chrm3; Chrm2; Rgs10
57,Htr3b,Day5,obob5v5,fgf1_grouping,neg,none,GO:0032835,glomerulus development,NA,74,3,2,0.0487612181510538,Col4a4; Col4a3
58,Htr3b,Day5,obob5v5,fgf1_grouping,pos,none,GO:0072001,renal system development,NA,358,82,10,0.000310327453046206,Col4a4; Col4a3; Kirrel3; Tiparp; Ptpro; Cyp26b1; Rarb; Pcsk5; Fras1; Schip1
59,Htr3b,Day5,obob5v5,fgf1_grouping,pos,none,GO:0071875,adrenergic receptor signaling pathway,NA,32,287,6,0.00220474354221678,Nos1; Adra1b; Gnas; Akap13; Gpr101; Adra1a
60,Htr3b,Day5,obob5v5,fgf1_grouping,pos,none,GO:0050803,regulation of synapse structure or activity,regulation of synapse assembly,297,420,18,0.00263562604293346,Gpc4; Ptpro; Ntrk2; Nrcam; Cdkl5; Il1rap; Frmpd4; Elavl2; Nedd9; Rps6ka5; Negr1; Flrt2; Clstn2; Ephb1; Sipa1l1; Homer1; Nrg1; Flrt3
61,Htr3b,Day5,obob5v5,fgf1_grouping,pos,none,GO:1902074,response to salt,NA,410,370,20,0.00277791264530272,Plcb1; Pcsk1; Pcdh15; Rgs10; Bcl11a; Htr2a; Nos1; Cpne4; Sdk1; Col18a1; Scn5a; Chrm2; Kcnh1; Syt1; Syt17; Oprm1; Foxo1; Oprk1; Homer1; Trpc3
62,Htr3b,Day5,obob5v5,fgf1_grouping,pos,none,GO:0007214,gamma-aminobutyric acid signaling pathway,NA,29,352,6,0.00388960968503557,Gabra3; Slc12a2; Gabrg1; Gabrb1; Gabra2; Gabra4
63,Htr3b,Day5,obob5v5,fgf1_grouping,pos,none,GO:0003012,muscle system process,NA,426,431,22,0.00400546995478072,Dock4; Nr4a1; Col14a1; Htr2a; Stac; Nos1; Adra1b; Sulf1; Map2k6; Scn5a; Akap13; Tpm4; Chrm2; Nr3c1; Jarid2; Adra1a; Foxo1; Atp1b1; Homer1; Trpc3; Tmod1; Cacna2d1
64,Htr3b,Day5,obob5v5,fgf1_grouping,pos,none,GO:0043402,glucocorticoid mediated signaling pathway,NA,4,231,3,0.00542784648843765,Sgk1; Akap13; Nr3c1
65,Htr3b,Day5,obob5v5,fgf1_grouping,pos,none,GO:0048148,behavioral response to cocaine,NA,18,369,5,0.00766236184626974,Htr2a; Nos1; Sdk1; Oprk1; Homer1
66,Htr3b,Day5,obob5v5,fgf1_grouping,pos,none,GO:0032835,glomerulus development,NA,74,41,4,0.0108215034049073,Col4a4; Col4a3; Kirrel3; Ptpro
67,Htr3b,Day5,obob5v5,fgf1_grouping,pos,none,GO:0031958,corticosteroid receptor signaling pathway,NA,17,438,5,0.0129062559728623,Ntrk2; Cry1; Nr3c1; Jak2; Lmo3
68,Htr3b,Day5,obob5v5,fgf1_grouping,pos,none,GO:0048736,appendage development,limb morphogenesis,197,458,14,0.0174698345261264,Cyp26b1; Rarb; Pcsk5; Fras1; Gnas; Sulf1; Ext1; Plxna2; Wdpcp; Chd7; Rspo3; Chst11; Fmn1; Zbtb16
69,Htr3b,Day5,obob5v5,fgf1_grouping,pos,none,GO:0046434,organophosphate catabolic process,NA,146,57,5,0.0321380935102071,Plcb1; Ntsr1; Dpyd; Pde1a; Gda
70,Htr3b,Day5,obob5v5,fgf1_grouping,pos,none,GO:0043087,regulation of GTPase activity,NA,339,360,16,0.0343916595283404,Rgs10; Sipa1l2; Bcl6; Ntrk2; Cdkl5; Rasgef1c; Gnas; Nedd9; Plxna2; S100a10; Rasgrf2; Rasgrp1; Tbc1d1; Rgl1; Sipa1l1; Arap2
71,Htr3b,Day5,obob5v5,fgf1_grouping,pos,none,GO:0007264,small GTPase mediated signal transduction,NA,419,399,19,0.0421538847437608,Dock4; Arhgef28; Sipa1l2; Rnd3; Bcl6; Srgap1; Auts2; Rasgef1c; Ksr1; Akap13; Rasgrf2; Adra1a; Rasgrp1; Stard13; Rgl1; Sipa1l1; Arhgdib; Nrg1; Nrp1
72,Htr3b,Day5,obob5v5,fgf1_grouping,pos,none,GO:0042391,regulation of membrane potential,NA,485,376,20,0.0425101369266265,Ntsr1; Ntrk2; Nrcam; Nos1; Pex5l; Gabra3; Kcnk9; Scn5a; Kcnip1; Pid1; Oprm1; Adra1a; Gabrg1; Kcnk13; Gabrb1; Gabra2; Atp1b1; Gabra4; Gria3; Rgs7bp
73,Irx5__Lmx1a,Day5,obob5v5,fgf1_grouping,pos,none,GO:0016358,dendrite development,NA,306,211,14,0.000304921375114468,Sdk1; Alk; Lzts1; Ephb1; Chrna7; Cdkl5; Prex1; Epha5; Fstl4; Dock10; Trpc6; Dab1; Ptn; Camk1d
74,Irx5__Lmx1a,Day5,obob5v5,fgf1_grouping,pos,none,GO:0050803,regulation of synapse structure or activity,NA,297,261,15,0.000482962140408038,Ptprt; Lzts1; Ptpro; Ephb1; Zfp804a; Chrna7; Asic2; Cdkl5; Elavl2; Lrtm1; Ptn; Pik3r1; Adgrl2; Cdh8; Cdh2
75,Irx5__Lmx1a,Day5,obob5v5,fgf1_grouping,pos,none,GO:0042391,regulation of membrane potential,NA,485,250,17,0.0066630276632088,Grik3; Kcnd2; Glra2; Fgf13; Igsf11; Chrna7; Oprm1; Asic2; Grik4; Camk2d; Hcn1; Tac1; Kcnk13; Ptn; Kcnn2; Gabra5; Insyn2b
76,Irx5__Lmx1a,Day5,obob5v5,fgf1_grouping,pos,none,GO:0043951,negative regulation of cAMP-mediated signaling,NA,15,222,4,0.0111066289138866,Pde3a; Oprm1; Pde4d; Pde11a
77,Irx5__Lmx1a,Day5,obob5v5,fgf1_grouping,pos,none,GO:0071867,response to monoamine,cellular response to dopamine,87,167,6,0.0338393538616815,Alk; Chrm2; Oprm1; Htr2a; Hrh1; Pde4d
78,Irx5__Lmx1a,Day5,obob5v5,fgf1_grouping,pos,none,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,NA,275,261,12,0.0339998977438072,Ptprt; Kirrel3; Cdh13; Sdk1; Cdh4; Igsf11; Robo1; Dab1; Pcdh7; Pcdh19; Cdh8; Cdh2
79,Irx5__Lmx1a,Day5,obob5v5,fgf1_grouping,pos,none,GO:0006939,smooth muscle contraction,NA,113,200,7,0.0436115803212758,Cald1; Chrm2; Htr2a; Mylk; Atp2b1; Pde4d; Rap1gds1
80,Irx5__Lmx1a,Day5,obob5v5,fgf1_grouping,pos,none,GO:0045471,response to ethanol,NA,169,90,6,0.043940760051936,Hpgd; Glra2; Maob; Itpr2; Chrna7; Oprm1
81,Kiss1__Tac2,Day5,obob5v5,fgf1_grouping,neg,none,GO:0060252,positive regulation of glial cell proliferation,NA,29,32,3,0.00916279527662198,Ntn1; Igf1; Nrg1
82,Kiss1__Tac2,Day5,obob5v5,fgf1_grouping,neg,none,GO:0007264,small GTPase mediated signal transduction,NA,419,35,6,0.0256632969857886,Ntn1; Rab39; Igf1; Itgav; Nrg1; Dock10
83,Kiss1__Tac2,Day5,obob5v5,fgf1_grouping,neg,none,GO:0022612,gland morphogenesis,NA,147,10,3,0.0312428099882801,Lama1; Ntn1; Igf1
84,Kiss1__Tac2,Day5,obob5v5,fgf1_grouping,neg,none,GO:0050919,negative chemotaxis,NA,45,32,3,0.0351249703596648,Ntn1; Itgav; Nrg1
85,Kiss1__Tac2,Day5,obob5v5,fgf1_grouping,neg,none,GO:0048880,sensory system development,eye development,439,36,6,0.0395027425871425,Lama1; Mitf; Inhbb; Olfm3; Spred2; Sdk1
86,Nfix__Nfib,Day14,obob14v14,fgf1_grouping,neg,none,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,NA,275,82,11,1.62987183617179E-06,Clstn2; Pcdh9; Robo1; Sdk1; Cdh4; Efna5; Ptprm; Ntng1; Cdh9; Cdh12; Ptprd
87,Nfix__Nfib,Day14,obob14v14,fgf1_grouping,neg,none,GO:0048592,eye morphogenesis,NA,182,56,6,0.00455405044323022,Rarb; Sdk1; Thrb; Meis1; Ptprm; Col8a1
88,Nfix__Nfib,Day14,obob14v14,fgf1_grouping,neg,none,GO:0021800,cerebral cortex tangential migration,NA,7,20,2,0.02299983182984,Reln; Robo1
89,Nfix__Nfib,Day14,obob14v14,fgf1_grouping,neg,none,GO:0050673,epithelial cell proliferation,NA,487,60,8,0.0257425510059179,Erbb4; Mcc; Hgf; Robo1; Fgf1; Ptprm; Col8a1; Nfib
90,Nfix__Nfib,Day14,obob14v14,fgf1_grouping,neg,none,GO:0030900,forebrain development,NA,450,20,5,0.033898390269093,Rarb; Erbb4; Reln; Pcdh9; Robo1
91,OPC,Day14,obob14v14,fgf1_grouping,pos,none,GO:0070302,regulation of stress-activated protein kinase signaling cascade,NA,201,302,11,0.0426960725421804,Egfr; Mdfic; Cracr2a; Lyn; Tnfrsf19; Stk25; Vegfa; Sh3rf3; Rapgef1; Rassf2; Igf1r
92,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0016358,dendrite development,regulation of dendrite morphogenesis,306,1012,47,5.1780418190793E-13,Prickle1; Pak2; Kalrn; Camk1d; Hecw1; Sh3glb1; Trpc5; Ephb2; Rac1; Mef2c; Abi1; Nedd4l; Cntnap2; Mink1; App; Sdc2; Strn; Myo6; Ube3a; Nr2e1; Grin1; Map1b; Elavl4; Ezh2; Tet1; Epha4; Tbc1d24; Cdc42; Grip1; Dab1; Sema4d; Dcx; Chrna7; Pak3; Reln; Map6; Btbd3; Rapgef4; Rap2a; Hnrnpk; Wls; Hprt; Srcin1; Sdk1; Camsap2; Zdhhc15; Arf4
93,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0042391,regulation of membrane potential,cardiac muscle cell action potential involved in contraction,485,252,30,7.69978456586855E-13,Gabra2; Scn1a; Kmt2a; Gabrb1; Akap7; Rimbp2; Prkcz; Kcnn2; Kcnj3; Gabrb3; Abat; Ryr2; Bin1; Nos1ap; Pex5l; Glrb; Cacnb2; Pclo; Trpc5; Kcnh7; Kcnk13; Gabra3; Cacna2d1; Dlg1; Mef2c; Slc8a3; Nedd4l; Camk2d; Celf4; Cntnap2
